Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Denmark,East Denmark,DK-DK2,123.04,187.27,81.46,80.51,entsoe.eu,false,
2024-01-01 01:00:00,Denmark,East Denmark,DK-DK2,118.89,181.09,82.1,81.37,entsoe.eu,false,
2024-01-01 02:00:00,Denmark,East Denmark,DK-DK2,120.48,181.84,81.91,81.3,entsoe.eu,false,
2024-01-01 03:00:00,Denmark,East Denmark,DK-DK2,117.78,177.98,82.35,81.73,entsoe.eu,false,
2024-01-01 04:00:00,Denmark,East Denmark,DK-DK2,117.57,178.11,82.22,81.59,entsoe.eu,false,
2024-01-01 05:00:00,Denmark,East Denmark,DK-DK2,123.3,187.07,81.37,80.47,entsoe.eu,false,
2024-01-01 06:00:00,Denmark,East Denmark,DK-DK2,129.36,194.67,80.42,79.75,entsoe.eu,false,
2024-01-01 07:00:00,Denmark,East Denmark,DK-DK2,134.13,201.21,79.57,78.74,entsoe.eu,false,
2024-01-01 08:00:00,Denmark,East Denmark,DK-DK2,134.61,201.46,79.56,79.07,entsoe.eu,false,
2024-01-01 09:00:00,Denmark,East Denmark,DK-DK2,134.22,207.94,79.57,79.4,entsoe.eu,false,
2024-01-01 10:00:00,Denmark,East Denmark,DK-DK2,132.79,208.56,79.75,79.59,entsoe.eu,false,
2024-01-01 11:00:00,Denmark,East Denmark,DK-DK2,135.33,212.06,79.39,79.03,entsoe.eu,false,
2024-01-01 12:00:00,Denmark,East Denmark,DK-DK2,136.38,217.96,79.35,78.67,entsoe.eu,false,
2024-01-01 13:00:00,Denmark,East Denmark,DK-DK2,147.57,230.84,78.11,75.5,entsoe.eu,false,
2024-01-01 14:00:00,Denmark,East Denmark,DK-DK2,158.87,249.42,76.57,74.5,entsoe.eu,false,
2024-01-01 15:00:00,Denmark,East Denmark,DK-DK2,151.9,243.66,77.79,75.49,entsoe.eu,false,
2024-01-01 16:00:00,Denmark,East Denmark,DK-DK2,162.62,252.98,76.7,74.5,entsoe.eu,false,
2024-01-01 17:00:00,Denmark,East Denmark,DK-DK2,169.38,255.62,76.27,74.03,entsoe.eu,false,
2024-01-01 18:00:00,Denmark,East Denmark,DK-DK2,157.97,239.33,77.58,75.52,entsoe.eu,false,
2024-01-01 19:00:00,Denmark,East Denmark,DK-DK2,149.98,235.66,77.84,75.24,entsoe.eu,false,
2024-01-01 20:00:00,Denmark,East Denmark,DK-DK2,146.7,229.52,77.94,75.15,entsoe.eu,false,
2024-01-01 21:00:00,Denmark,East Denmark,DK-DK2,150.92,238.03,77.21,74.53,entsoe.eu,false,
